Name,Level,TargetBuilding,RequiredTownHallLevel,BuildTimeD,BuildTimeH,BuildTimeM,BuildTimeS,BuildResource,BuildCost,MaxStoredGold,MaxStoredElixir,MaxStoredDarkElixir,ResourcePer100Hours,ResourceMax,Hitpoints,DPS,DPSLv2,DPSLv3,AltDPS,ProjectileSpellDamageBoost,StrengthWeight,HintPriority,ExpiresSoon
String,int,String,int,int,int,int,int,String,int,int,int,int,int,int,int,int,int,int,int,int,int,int,boolean
Elixir Collector Mini Levels,1,Elixir Collector,18,2,0,0,0,Gold,1700000,,,,29700,16500,,,,,,,,30,
,2,,,3,0,0,0,,1500000,,,,59400,33000,,,,,,,,,
,3,,,4,0,0,0,,1300000,,,,,,50,,,,,,,,
Gold Mine Mini Levels,1,Gold Mine,18,2,0,0,0,Elixir,1700000,,,,29700,16500,,,,,,,,30,
,2,,,3,0,0,0,,1500000,,,,59400,33000,,,,,,,,,
,3,,,4,0,0,0,,1300000,,,,,,50,,,,,,,,
Dark Elixir Drill Mini Levels,1,Dark Elixir Drill,18,3,0,0,0,Elixir,5100000,,,,900,207,,,,,,,,30,
,2,,,4,0,0,0,,4500000,,,,1800,414,,,,,,,,,
,3,,,5,0,0,0,,3900000,,,,,,50,,,,,,,,
Hidden Tesla Mini Levels,1,Hidden Tesla,18,4,12,0,0,Gold,12000000,,,,,,0,5,,,,,25,20,
,2,,,6,12,0,0,,8000000,,,,,,50,,,,,,50,,
Inferno Tower Mini Levels,1,Inferno Tower,18,5,0,0,0,Gold,13000000,,,,,,0,10,20,200,,,175,25,
,2,,,7,0,0,0,,8500000,,,,,,200,,,,,,350,,
Scattershot Mini Levels,1,Scattershot,17,2,12,0,0,Gold,6000000,,,,,,,3,,,,3,175,25,TRUE
,2,,,4,0,0,0,,3500000,,,,,,150,,,,,,350,,
Builders Hut Mini Levels,1,Builders Hut,17,4,0,0,0,Gold,10000000,,,,,,,7,,,,,90,20,
,2,,,6,0,0,0,,5000000,,,,,,50,,,,,,180,,
X-Bow Mini Levels,1,X-Bow,17,3,0,0,0,Gold,7000000,,,,,,,10,,,,,160,20,TRUE
,2,,,4,12,0,0,,4000000,,,,,,100,,,,,,320,,
Mortar Mini Levels,1,Mortar,18,4,0,0,0,Gold,9000000,,,,,,0,3,,,,,75,20,
,2,,,6,0,0,0,,7000000,,,,,,75,,,,,,150,,
Firespitter Mini Levels,1,Firespitter,18,6,12,0,0,Gold,14000000,,,,,,0,18,,,,,150,25,
,2,,,7,12,0,0,,12000000,,,,,,250,,,,,,200,,
Air Defense Mini Levels,1,Air Defense,18,2,18,0,0,Gold,6000000,,,,,,,20,,,,,75,20,
,2,,,4,6,0,0,,3000000,,,,,,,40,,,,,150,,
Bomb Tower Mini Levels,1,Bomb Tower,18,2,12,0,0,Gold,6000000,,,,,,,5,,,,,75,20,
,2,,,4,0,0,0,,3000000,,,,,,100,,,,,,150,,
Wizard Tower Mini Levels,1,Wizard Tower,100,2,0,0,0,Gold,4500000,,,,,,0,4,,,,,100,20,
,2,,,3,12,0,0,,2000000,,,,,,75,,,,,,175,,
Multi Archer Tower Mini Levels,1,Multi Archer Tower,18,6,0,0,0,Gold,12000000,,,,,,,5,,,,,175,20,
,2,,,7,0,0,0,,10000000,,,,,,100,,,,,,350,,
Ricochet Cannon Mini Levels,1,Ricochet Cannon,18,6,0,0,0,Gold,12000000,,,,,,,8,,,,,150,20,
,2,,,7,0,0,0,,10000000,,,,,,150,,,,,,300,,
Multi Gear Tower Mini Levels,1,Multi Gear Tower,18,6,0,0,0,Gold,12000000,,,,,,,10,,,,,175,25,
,2,,,7,0,0,0,,10000000,,,,,,150,,,,,,350,,
Monolith Mini Levels,1,Monolith,17,5,0,0,0,DarkElixir,150000,,,,,,,10,,,,,200,25,
,2,,,7,0,0,0,,130000,,,,,,202,,,,,,400,,
Super Wizard Tower Mini Levels,1,Super Wizard Tower,18,6,0,0,0,Gold,12000000,,,,,,,7,,,,,175,25,
,2,,,7,0,0,0,,14000000,,,,,,150,,,,,,350,,
