Name,TID,SWF,HousingSpace,BarrackLevel,LaboratoryLevel,Speed,Hitpoints,TrainingTime,TrainingResource,TrainingCost,UpgradeTimeH,UpgradeResource,UpgradeCost,AttackRange,AttackSpeed,Damage,PreferedTargetDamageMod,DamageRadius,IconSWF,IconExportName,BigPicture,Projectile,PreferedTargetBuilding,DeployEffect,AttackEffect,HitEffect,IsFlying,AirTargets,GroundTargets,AttackCount,DieEffect
String,String,String,int,int,int,int,int,int,String,int,int,String,int,int,int,int,int,int,String,String,String,String,String,String,String,String,boolean,boolean,boolean,int,String
Barbarian,TID_BARBARIAN,sc/characters.cs,1,1,1,200,45,15,Elixir,50,6,Elixir,50000,40,1000,8,1,,sc/ui.sc,icon_unit_barbarian,unit_barbarian_big,,,Barbarian Deploy,Barbarian Attack,Barbarian Hit,FALSE,FALSE,TRUE,,Barbarian Die
,,,,,1,,54,,,100,12,,100000,,,11,,,,,,,,,,,,,,,
,,,,,3,,72,,,200,24,,500000,,,15,,,,,,,,,,,,,,,
,,,,,5,,90,,,500,48,,1000000,,,21,,,,,,,,,,,,,,,
,,,,,6,,110,,,1000,72,,,,,30,,,,,,,,,,,,,,,
Archer,TID_ARCHER,sc/characters.cs,1,2,1,300,20,20,Elixir,100,6,Elixir,50000,400,1000,7,1,,sc/ui.sc,icon_unit_archer,unit_archer_big,Arrow_small,,Archer Deploy,Archer Attack,Archer Hit,FALSE,TRUE,TRUE,,Archer Die
,,,,,1,,25,,,200,12,,100000,,,9,,,,,,,,,,,,,,,
,,,,,3,,30,,,500,24,,500000,,,12,,,,,,,,,,,,,,,
,,,,,5,,40,,,800,48,,1000000,,,18,,,,,,,,,,,,,,,
,,,,,6,,50,,,1200,72,,,,,25,,,,,,,,,,,,,,,
Goblin,TID_GOBLIN,sc/characters.cs,1,3,1,400,25,30,Elixir,100,6,Elixir,50000,40,1000,11,2,,sc/ui.sc,icon_unit_goblin,unit_goblin_big,,Resource,Goblin Deploy,Goblin Attack,Goblin Hit,FALSE,FALSE,TRUE,,Goblin Die
,,,,,1,,30,,,200,12,,100000,,,14,,,,,,,,,,,,,,,
,,,,,3,,40,,,500,24,,500000,,,19,,,,,,,,,,,,,,,
,,,,,5,,50,,,800,48,,1000000,,,28,,,,,,,,,,,,,,,
,,,,,6,,65,,,1200,72,,,,,40,,,,,,,,,,,,,,,
Giant,TID_GIANT,sc/characters.cs,5,4,1,150,300,105,Elixir,500,6,Elixir,100000,100,2000,11,1,,sc/ui.sc,icon_unit_giant,unit_giant_big,,Defense,Giant Deploy,Giant Attack,Giant Hit,FALSE,FALSE,TRUE,,Giant Die
,,,,,2,,350,,,1000,12,,250000,,,14,,,,,,,,,,,,,,,
,,,,,4,,450,,,2000,24,,500000,,,19,,,,,,,,,,,,,,,
,,,,,5,,600,,,3000,48,,1000000,,,28,,,,,,,,,,,,,,,
,,,,,6,,800,,,6000,72,,,,,40,,,,,,,,,,,,,,,
Wall Breaker,TID_WALL_BREAKER,sc/characters.cs,1,5,1,300,20,120,Elixir,1000,6,Elixir,100000,50,1000,12,40,80,sc/ui.sc,icon_unit_wallbreaker,unit_skeleton_big,,Wall,Wall Breaker Deploy,Wall Breaker Attack,Wall Breaker Hit,FALSE,FALSE,TRUE,1,Wall Breaker Die
,,,,,2,,25,,,2000,12,,250000,,,16,,80,,,,,,,,,,,,,
,,,,,4,,30,,,3000,24,,500000,,,24,,80,,,,,,,,,,,,,
,,,,,5,,40,,,5000,48,,1000000,,,32,,80,,,,,,,,,,,,,
,,,,,6,,50,,,10000,72,,,,,42,,80,,,,,,,,,,,,,
Balloon Goblin,TID_GOBLIN_BALLOON,sc/characters.cs,5,6,1,100,150,600,Elixir,2000,6,Elixir,100000,50,4000,25,1,120,sc/ui.sc,icon_unit_balloon,unit_balloon_big,,Defense,Balloon Goblin Deploy,Balloon Goblin Attack,Balloon Goblin Hit,TRUE,FALSE,TRUE,,Balloon Goblin Die
,,,,,2,,180,,,3000,12,,250000,,,38,,,,,,,,,,,,,,,
,,,,,4,,240,,,5000,24,,500000,,,56,,,,,,,,,,,,,,,
,,,,,5,,300,,,10000,48,,1000000,,,84,,,,,,,,,,,,,,,
,,,,,6,,400,,,20000,72,,,,,125,,,,,,,,,,,,,,,
Wizard,TID_WIZARD,sc/characters.cs,4,7,1,200,75,900,Elixir,3000,6,Elixir,150000,300,1500,50,1,,sc/ui.sc,icon_unit_wizard,unit_wizard_big,wizard_projectile,,Wizard Deploy,Wizard Attack,Wizard Hit,FALSE,TRUE,TRUE,,Wizard Die
,,,,,3,,90,,,5000,12,,250000,,,75,,,,,,,,,,,,,,,
,,,,,4,,120,,,7000,24,,500000,,,100,,,,,,,,,,,,,,,
,,,,,5,,150,,,10000,48,,1000000,,,150,,,,,,,,,,,,,,,
,,,,,6,,200,,,25000,72,,,,,200,,,,,,,,,,,,,,,
Healer,TID_HEALER,sc/characters.cs,20,8,1,200,20,1200,Elixir,7500,6,Elixir,500000,400,700,-20,1,200,sc/ui.sc,icon_unit_healer,unit_healer_big,HealerEnergy,,Healer Deploy,Healer Attack,Healer Hit,TRUE,FALSE,TRUE,,Healer Die
,,,,,5,,25,,,15000,48,,1000000,,,-40,,,,,,,,,,,,,,,
,,,,,6,,30,,,30000,72,,,,,-60,,,,,,,,,,,,,,,
Dragon,TID_DRAGON,sc/characters.cs,20,9,1,200,1600,1800,Elixir,50000,6,Elixir,2000000,300,1500,100,1,,sc/ui.sc,icon_unit_dragon,unit_dragon_big,,,Dragon Deploy,Dragon Attack,Dragon Hit,TRUE,TRUE,TRUE,,Dragon Die
,,,,,6,,2400,,,100000,72,,,,,200,,,,,,,,,,,,,,,
PEKKA,TID_PEKKA,sc/characters.cs,25,10,1,100,2000,3600,Elixir,75000,6,Elixir,2500000,80,2500,150,1,,sc/ui.sc,icon_unit_pekka,unit_pekka_big,,,Pekka Deploy,Pekka Attack,Pekka Hit,FALSE,FALSE,TRUE,,Pekka Die
,,,,,6,,2800,,,150000,72,,,,,250,,,,,,,,,,,,,,,
