Name,DefaultValue,AllowSnapshotUpdate
String,int,boolean
StarBonusCounter,,
StarBonusCooldown,,
StarBonusTimerEndSubTick,,
StarBonusTimerEndTimestep,,
StarBonusTimesCollected,,
ChallengeStarted,,
ChallengeLayoutIsWar,,
FriendListLastOpened,,
BeenInArrangedWar,,
FILL_ME,,
AccountBound,,
EventUseTroop,,
VillageToGoTo,,
LootLimitWinCount,,
LootLimitTimerEndSubTick,,
LootLimitTimerEndTimestamp,,
LootLimitCooldown,,
Village2BarrackLevel,,
LootLimitFreeSpeedUp,,
SeenBuilderMenu,,
MaxArmyTimerEndSubTick,,TRUE
MaxArmyTimerEndTimeStamp,,TRUE
MaxArmyTimerPausedTicksLeft,,TRUE
AllianceUnitDeploymentMethod,,TRUE
ShowOnlyRelevantTroopRequests,1,
HeroPotionTimerEndSubTick,,TRUE
HeroPotionTimerEndTimeStamp,,TRUE
HeroPotionTimerPausedTicksLeft,,TRUE
TaskEventProgress1,,
TaskEventProgress2,,
TaskEventProgress3,,
ClanChatRulesVersion,,TRUE
ClanChatRulesVersionTimestamp,,TRUE
