Name,TID,StoreGroup,BillingPackage
String,String,int,String
generic_0.29,,100,com.supercell.magic.offer_0.29
,,60,com.supercell.magic.offer_0.29
,,50,com.supercell.magic.offer_0.29
generic_0.39,,100,com.supercell.magic.offer_0.39
,,60,com.supercell.magic.offer_0.29
,,50,com.supercell.magic.offer_0.29
generic_0.49,,100,com.supercell.magic.offer_0.49
,,60,com.supercell.magic.offer_0.29
,,50,com.supercell.magic.offer_0.29
generic_0.59,,100,com.supercell.magic.offer_0.59
,,60,com.supercell.magic.offer_0.29
,,50,com.supercell.magic.offer_0.29
generic_0.69,,100,com.supercell.magic.offer_0.69
,,60,com.supercell.magic.offer_0.39
,,50,com.supercell.magic.offer_0.29
generic_0.79,,100,com.supercell.magic.offer_0.79
,,60,com.supercell.magic.offer_0.39
,,50,com.supercell.magic.offer_0.39
generic_0.89,,100,com.supercell.magic.offer_0.89
,,60,com.supercell.magic.offer_0.49
,,50,com.supercell.magic.offer_0.39
generic_0.99,,100,com.supercell.magic.offer_0.99
,,60,com.supercell.magic.offer_0.59
,,50,com.supercell.magic.offer_0.49
generic_1.09,,100,com.supercell.magic.offer_1.09
,,60,com.supercell.magic.offer_0.59
,,50,com.supercell.magic.offer_0.49
generic_1.19,,100,com.supercell.magic.offer_1.19
,,60,com.supercell.magic.offer_0.69
,,50,com.supercell.magic.offer_0.59
generic_1.29,,100,com.supercell.magic.offer_1.29
,,60,com.supercell.magic.offer_0.69
,,50,com.supercell.magic.offer_0.59
generic_1.39,,100,com.supercell.magic.offer_1.39
,,60,com.supercell.magic.offer_0.79
,,50,com.supercell.magic.offer_0.69
generic_1.49,,100,com.supercell.magic.offer_1.49
,,60,com.supercell.magic.offer_0.89
,,50,com.supercell.magic.offer_0.69
generic_1.59,,100,com.supercell.magic.offer_1.59
,,60,com.supercell.magic.offer_0.89
,,50,com.supercell.magic.offer_0.79
generic_1.69,,100,com.supercell.magic.offer_1.69
,,60,com.supercell.magic.offer_0.99
,,50,com.supercell.magic.offer_0.79
generic_1.79,,100,com.supercell.magic.offer_1.79
,,60,com.supercell.magic.offer_0.99
,,50,com.supercell.magic.offer_0.89
generic_1.89,,100,com.supercell.magic.offer_1.89
,,60,com.supercell.magic.offer_1.09
,,50,com.supercell.magic.offer_0.89
generic_1.99,,100,com.supercell.magic.offer_1.99
,,60,com.supercell.magic.offer_1.19
,,50,com.supercell.magic.offer_0.99
generic_2.09,,100,com.supercell.magic.offer_2.09
,,60,com.supercell.magic.offer_1.19
,,50,com.supercell.magic.offer_0.99
generic_2.19,,100,com.supercell.magic.offer_2.19
,,60,com.supercell.magic.offer_1.29
,,50,com.supercell.magic.offer_1.09
generic_2.29,,100,com.supercell.magic.offer_2.29
,,60,com.supercell.magic.offer_1.29
,,50,com.supercell.magic.offer_1.09
generic_2.39,,100,com.supercell.magic.offer_2.39
,,60,com.supercell.magic.offer_1.39
,,50,com.supercell.magic.offer_1.19
generic_2.49,,100,com.supercell.magic.offer_2.49
,,60,com.supercell.magic.offer_1.49
,,50,com.supercell.magic.offer_1.19
generic_2.59,,100,com.supercell.magic.offer_2.59
,,60,com.supercell.magic.offer_1.49
,,50,com.supercell.magic.offer_1.29
generic_2.69,,100,com.supercell.magic.offer_2.69
,,60,com.supercell.magic.offer_1.59
,,50,com.supercell.magic.offer_1.29
generic_2.79,,100,com.supercell.magic.offer_2.79
,,60,com.supercell.magic.offer_1.59
,,50,com.supercell.magic.offer_1.39
generic_2.89,,100,com.supercell.magic.offer_2.89
,,60,com.supercell.magic.offer_1.69
,,50,com.supercell.magic.offer_1.39
generic_2.99,,100,com.supercell.magic.offer_2.99
,,60,com.supercell.magic.offer_1.79
,,50,com.supercell.magic.offer_1.49
generic_3.29,,100,com.supercell.magic.offer_3.29
,,60,com.supercell.magic.offer_1.89
,,50,com.supercell.magic.offer_1.59
generic_3.49,,100,com.supercell.magic.offer_3.49
,,60,com.supercell.magic.offer_2.09
,,50,com.supercell.magic.offer_1.69
generic_3.79,,100,com.supercell.magic.offer_3.79
,,60,com.supercell.magic.offer_2.19
,,50,com.supercell.magic.offer_1.89
generic_3.99,,100,com.supercell.magic.offer_3.99
,,60,com.supercell.magic.offer_2.39
,,50,com.supercell.magic.offer_1.99
generic_4.29,,100,com.supercell.magic.offer_4.29
,,60,com.supercell.magic.offer_2.49
,,50,com.supercell.magic.offer_2.09
generic_4.49,,100,com.supercell.magic.offer_4.49
,,60,com.supercell.magic.offer_2.69
,,50,com.supercell.magic.offer_2.19
generic_4.79,,100,com.supercell.magic.offer_4.79
,,60,com.supercell.magic.offer_2.79
,,50,com.supercell.magic.offer_2.39
generic_4.99,,100,com.supercell.magic.offer_4.99
,,60,com.supercell.magic.offer_2.99
,,50,com.supercell.magic.offer_2.49
generic_5.49,,100,com.supercell.magic.offer_5.49
,,60,com.supercell.magic.offer_3.29
,,50,com.supercell.magic.offer_2.69
generic_5.99,,100,com.supercell.magic.offer_5.99
,,60,com.supercell.magic.offer_3.49
,,50,com.supercell.magic.offer_2.99
generic_6.49,,100,com.supercell.magic.offer_6.49
,,60,com.supercell.magic.offer_3.79
,,50,com.supercell.magic.offer_2.99
generic_6.99,,100,com.supercell.magic.offer_6.99
,,60,com.supercell.magic.offer_3.99
,,50,com.supercell.magic.offer_3.49
generic_7.49,,100,com.supercell.magic.offer_7.49
,,60,com.supercell.magic.offer_4.49
,,50,com.supercell.magic.offer_3.49
generic_7.99,,100,com.supercell.magic.offer_7.99
,,60,com.supercell.magic.offer_4.79
,,50,com.supercell.magic.offer_3.99
generic_8.49,,100,com.supercell.magic.offer_8.49
,,60,com.supercell.magic.offer_4.99
,,50,com.supercell.magic.offer_3.99
